Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,Unknown,1,725.4,390470936,30716,196631588,92.0,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-04-05 00:00:00,2,545.9,323703884,28113,174597137,92.0,1
i like the way you kiss me,I like the way you kiss me,Artemas,Unknown,3,538.4,601309283,54331,211607669,92.0,0
Flowers,Flowers - Single,Miley Cyrus,2023-12-01 00:00:00,4,444.9,2031280633,269802,136569078,85.0,0
Houdini,Houdini,Eminem,Unknown,5,423.3,107034922,7223,151469874,88.0,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-10-11 00:00:00,6,410.1,670665438,105892,175421034,83.0,1
Beautiful Things,Beautiful Things,Benson Boone,Unknown,7,407.2,900158751,73118,201585714,86.0,0
Gata Only,Gata Only,FloyyMenor,2024-02-02 00:00:00,8,375.8,675079153,40094,211236940,92.0,1
Danza Kuduro - Cover,                      -                    -,MUSIC LAB JPN,2024-09-06 00:00:00,9,355.7,1653018119,1,15,0.0,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,Unknown,10,330.6,90676573,10400,184199419,86.0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-10-05 00:00:00,11,322.1,250080413,16219,168766158,91.0,1
The Door,The Door,Teddy Swims,Unknown,12,320.2,111155129,2,263767,0.0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,Unknown,13,316.3,221636195,13800,197280692,92.0,0
Like That,WE DON'T TRUST YOU,Future,Unknown,14,308.2,355186436,43025,108168634,88.0,1
bathroom floor,bathroom floor,Kids With Buns,2022-07-10 00:00:00,15,301.6,297185,277,24445,12.0,0
LALA,LALA - Single,Myke Towers,Unknown,16,299.9,925655569,103605,79944921,79.0,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,17,297.6,395433400,12784,177932568,89.0,0
greedy,greedy,Tate McRae,Unknown,18,293.7,1258569694,105218,198845580,87.0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,Unknown,19,292.6,91272461,6499,52287548,86.0,0
As It Was,As It Was,Harry Styles,Unknown,20,292.0,3301814535,407119,169783402,87.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-04-08 00:00:00,21,290.5,1065399331,170890,121712197,78.0,1
Espresso,Espresso,Sabrina Carpenter,2024-12-04 00:00:00,22,281.5,547882871,24425,262343414,95.0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,Unknown,23,279.0,1655575417,10,655,0.0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc ,2024-10-02 00:00:00,24,278.9,426700979,34044,152928632,86.0,1
